,Name,Description,Address,Neighborhoods,Rental listings,Year built,Structure,Web,Leasing Manager,Manager Phone,Phone
230,125 Christopher Street,125 Christopher Street is a  post-war  mid-rise  landmark elevator  building.,"125 Christopher Street,  New York, NY 10014","West Village,   Manhattan",(no current listings),1948,6 floors 47 units,,,,
231,125 Church Street,125 Church Street is a   mid-rise  elevator  building.,"125 Church Street,  New York, NY 10007","TriBeCa,   Manhattan",1 fee ad,1930,6 floors 15 units,,,,
232,125 Madison Street,125 Madison Street is a   low-rise  walk-up  building.,"125 Madison Street,  New York, NY 10002","Chinatown, Two Bridges,   Manhattan",(no current listings),1900,5 floors 15 units,,,,
233,125 Second Avenue,125 Second Avenue is a  turn-of-the-century  mid-rise  landmark walk-up  building.,"125 Second Avenue,  New York, NY 10003","East Village,   Manhattan",(no current listings),1900,7 floors 26 units,,,,
234,126 East 4th Street,126 East 4th Street is a   low-rise  walk-up  building.,"126 East 4th Street,  New York, NY 10003","East Village,   Manhattan",(no current listings),1910,5 floors 20 units,,,,
235,126 Elizabeth Street,126 Elizabeth Street is a   mid-rise  walk-up  building.,"126 Elizabeth Street,  New York, NY 10013","Little Italy,   Manhattan",(no current listings),1900,6 floors 24 units,,,,
236,126 MacDougal Street,126 MacDougal Street is a   low-rise  walk-up  building.,"126 MacDougal Street,  New York, NY 10012","Central Village,   Manhattan",2 no-fee ads,1930,5 floors 20 units,,,,
237,127 Fourth Avenue,127 Fourth Avenue is a   mid-rise  elevator  building.,"127 Fourth Avenue,  New York, NY 10003","East Village,   Manhattan","1 no-fee, 1 fee ads",1930,7 floors 46 units,,,,
238,127 Mott Street,127 Mott Street is a  nineteenth century  low-rise  walk-up  building.,"127 Mott Street,  New York, NY 10013","Little Italy,   Manhattan",(no current listings),1880,5 floors 18 units,,,,
239,127 Rivington Street,127 Rivington Street is a   low-rise  walk-up  building.,"127 Rivington Street,  New York, NY 10002","Lower East Side,   Manhattan",(no current listings),1910,5 floors 17 units,,,,
240,127 Second Avenue,127 Second Avenue is a   mid-rise  landmark walk-up  building.,"127 Second Avenue,  New York, NY 10003","East Village,   Manhattan",(no current listings),1900,6 floors 22 units,,Citi Urban Management Corp.,212-260-2066,
241,128 MacDougal Street,128 MacDougal Street is a   low-rise  walk-up  building.,"128 MacDougal Street,  New York, NY 10012","Central Village,   Manhattan",(no current listings),1910,5 floors 20 units,,,,
242,128 Second Avenue,128 Second Avenue is a   mid-rise  walk-up  building.,"128 Second Avenue,  New York, NY 10003","East Village,   Manhattan",(no current listings),1920,6 floors 22 units,,Icon Realty Management LLC,212-675-7100,
243,128 St. Marks Place,128 St. Marks Place is a   low-rise  walk-up  building.,"128 St. Marks Place,  New York, NY 10009","East Village,   Manhattan",2 no-fee ads,1900,5 floors 20 units,,Jakobson Properties,212-533-1300,
244,128 Thompson Street,128 Thompson Street is a   mid-rise  walk-up  building.,"128 Thompson Street,  New York, NY 10012","SoHo,   Manhattan",(no current listings),1910,6 floors 28 units,,MDays Realty LLC,347-627-9812,
245,128 West 13th Street,128 West 13th Street is a   mid-rise  landmark elevator  building.,"128 West 13th Street,  New York, NY 10011","Central Village,   Manhattan",(no current listings),1910,6 floors 42 units,,,,
246,129 Orchard Street,129 Orchard Street is a   mid-rise  walk-up  building.,"129 Orchard Street,  New York, NY 10002","Lower East Side,   Manhattan",(no current listings),1920,6 floors 20 units,,,,
247,129 Perry Street,129 Perry Street is a   mid-rise  landmark walk-up  building.,"129 Perry Street,  New York, NY 10014","West Village,   Manhattan",(no current listings),1910,6 floors 24 units,,,,
248,129 Second Avenue,129 Second Avenue is a   mid-rise  landmark elevator  building.,"129 Second Avenue,  New York, NY 10003","East Village,   Manhattan",(no current listings),1900,6 floors 22 units,,Citi Urban Management Corp.,212-260-2066,
249,129-131 Avenue A,129-131 Avenue A is a   mid-rise  walk-up  building.,"120-131 Avenue A,  New York, NY 10009","East Village,   Manhattan",(no current listings),1920,6 floors 30 units,,,,
250,13 Essex Street,13 Essex Street is a   mid-rise  walk-up  building.,"13 Essex Street,  New York, NY 10002","Chinatown,   Manhattan",(no current listings),1900,6 floors 44 units,,,,
251,13 Market Street,13 Market Street is a   low-rise  elevator  building.,"13 Market Street,  New York, NY 10002","Chinatown, Two Bridges,   Manhattan",(no current listings),1900,5 floors 17 units,,,,
252,13 St. Mark's Place,13 St. Mark's Place is a   low-rise  walk-up  building.    The apartments  have  high ceilings.,"13 St. Mark's Place,  New York, NY 10003","East Village,   Manhattan",(no current listings),1900,5 floors 16 units,,,,
253,130 Allen Street,130 Allen Street is a   low-rise  walk-up  building.,"130 Allen Street,  New York, NY 10002","Lower East Side,   Manhattan",1 no-fee ad,1910,5 floors 16 units,,,,
254,130 East 4th Street,130 East 4th Street is a   low-rise  walk-up  building.,"130 East 4th Street,  New York, NY 10003","East Village,   Manhattan",1 no-fee ad,1900,5 floors 16 units,,,,
255,130 Orchard Street,130 Orchard Street is a   mid-rise  elevator  building.,"130 Orchard Street,  New York, NY 10002","Lower East Side,   Manhattan",(no current listings),1920,6 floors 18 units,,,,
256,132 Allen Street,132 Allen Street is a   low-rise  walk-up  building.,"132 Allen Street,  New York, NY 10002","Lower East Side,   Manhattan",(no current listings),1910,5 floors 16 units,,,,
257,132 Ludlow Street,132 Ludlow Street is a   mid-rise  walk-up  building.,"132 Ludlow Street,  New York, NY 10002","Lower East Side,   Manhattan",(no current listings),1900,6 floors 20 units,,,,
258,132 Thompson Street,132 Thompson Street is a   mid-rise  walk-up  building.,"132 Thompson Street,  New York, NY 10012","SoHo,   Manhattan",(no current listings),1900,6 floors 39 units,,,,
259,133 Avenue D,133 Avenue D is a   mid-rise  walk-up  building.,"133 Avenue D,  New York, NY 10009","Alphabet City, East Village,   Manhattan",(no current listings),1930,6 floors 20 units,,,,
260,133 East 4th Street,133 East 4th Street is a   low-rise  walk-up  building.,"133 East 4th Street,  New York, NY 10003","East Village,   Manhattan",(no current listings),1900,5 floors 16 units,,Icon Realty Management LLC,212-675-7100,
261,133 Mulberry Street,133 Mulberry Street is a   mid-rise  elevator  building.,"133 Mulberry Street,  New York, NY 10013","Little Italy,   Manhattan",(no current listings),1920,6 floors 15 units,,,,
262,134 Orchard Street,134 Orchard Street is a   low-rise  walk-up  building.,"134 Orchard Street,  New York, NY 10002","Lower East Side,   Manhattan",(no current listings),1900,5 floors 16 units,,9300 Realty Inc,212-228-9300,
263,135 Charles Street,135 Charles Street is a   mid-rise  landmark elevator  building.,"135 Charles Street,  New York, NY 10014","West Village,   Manhattan",(no current listings),1896,6 floors 50 units,,,,
264,135 Eldridge Street,135 Eldridge Street is a   mid-rise  walk-up  building.,"135 Eldridge Street,  New York, NY 10002","Lower East Side,   Manhattan",1 fee ad,1900,6 floors 28 units,,,,
265,135 West 10th Street,135 West 10th Street is a   mid-rise  landmark walk-up  building.,"135 West 10th Street,  New York, NY 10014","Central Village,   Manhattan",(no current listings),1900,6 floors 25 units,,,,
266,135 William Street,135 William Street is a  turn-of-the-century  high-rise  elevator  building.   Converted building.,"135 William Street,  New York, NY 10038","Financial District,   Manhattan",(no current listings),1905,16 floors 30 units,,"Metro Loft Management, LLC",212-706-3030,
267,137 Rivington Street,137 Rivington Street is a   low-rise  walk-up  building.,"137 Rivington Street,  New York, NY 10002","Lower East Side,   Manhattan",(no current listings),1930,5 floors 18 units,,,,
268,137 Sullivan Street,137 Sullivan Street is a   mid-rise  landmark walk-up  building.,"137 Sullivan Street,  New York, NY 10012","SoHo,   Manhattan",2 no-fee ads,1915,6 floors 28 units,,"Gatsby Enterprises, LLC",,
269,137 Thompson Street,137 Thompson Street is a   low-rise  walk-up  building.    The apartments  have  high ceilings.  Rent includes heat and hot water.,"137 Thompson Street,  New York, NY 10012","SoHo,   Manhattan",1 no-fee ad,1900  (approximate),5 floors 16 units,,,,
270,138 Bowery,138 Bowery is a  modern  mid-rise  elevator  building.,"138 Bowery,  New York, NY 10013","Little Italy,   Manhattan",(no current listings),2016,8 floors 27 units,,,,
271,138 Eldridge Street,138 Eldridge Street is a   mid-rise  walk-up  building.,"138 Eldridge Street,  New York, NY 10002","Lower East Side,   Manhattan",(no current listings),1900,6 floors 18 units,,,,
272,138 Ludlow Street,138 Ludlow Street is a   mid-rise  walk-up  building.,"138 Ludlow Street,  New York, NY 10002","Lower East Side,   Manhattan",(no current listings),1920,6 floors 27 units,,,,
273,138 Orchard Street,138 Orchard Street is a   low-rise  walk-up  building.,"138 Orchard Street,  New York, NY 10002","Lower East Side,   Manhattan",(no current listings),1900,5 floors 16 units,,,,
274,138 West 10th Street,138 West 10th Street is a   low-rise  landmark walk-up  building.,"138 West 10th Street,  New York, NY 10014","Central Village,   Manhattan",(no current listings),1900,5 floors 19 units,,,,
275,139 East 13th Street,139 East 13th Street is a   mid-rise  walk-up  building.,"139 East 13th Street,  New York, NY 10003","East Village,   Manhattan",(no current listings),1900,6 floors 20 units,,,,
276,139 Eldridge Street,139 Eldridge Street is a   mid-rise  walk-up  building.,"139 Eldridge Street,  New York, NY 10002","Lower East Side,   Manhattan",(no current listings),1900,6 floors 22 units,,,,
277,139 Essex Street,139 Essex Street is a   low-rise  walk-up  building.,"139 Essex Street,  New York, NY 10002","Lower East Side,   Manhattan",(no current listings),1900,5 floors 16 units,,,,
278,139 Second Avenue,139 Second Avenue is a   mid-rise  walk-up  building.,"139 Second Avenue,  New York, NY 10003","East Village,   Manhattan",(no current listings),1900,6 floors 20 units,,,,
279,139 Thompson Street,139 Thompson Street is a   low-rise  walk-up  building.,"139 Thompson Street,  New York, NY 10012","SoHo,   Manhattan",(no current listings),1900,5 floors 19 units,,S.W. Management / City & Suburban,212-517-3000,
280,14 Avenue A,14 Avenue A is a   low-rise  walk-up  building.,"14 Avenue A,  New York, NY 10009","Alphabet City, East Village,   Manhattan",(no current listings),1900,5 floors 16 units,,,,
281,14 Jones Street,14 Jones Street is a   low-rise  landmark walk-up  building.,"14 Jones Street,  New York, NY 10014","Central Village,   Manhattan",(no current listings),1920,5 floors 20 units,,,,
282,140 Orchard Street,140 Orchard Street is a   mid-rise  walk-up  building.,"140 Orchard Street,  New York, NY 10002","Lower East Side,   Manhattan",(no current listings),1920,6 floors 15 units,,,,
283,140 Waverly Place,140 Waverly Place is a   mid-rise  landmark elevator  building.,"140 Waverly Place,  New York, NY 10014","West Village, Central Village,   Manhattan",(no current listings),1930,6 floors 23 units,,Brodsky Organization,212-315-5555  212-315-5963 fax,
284,140 West 10th Street,140 West 10th Street is a   low-rise  landmark walk-up  building.,"140 West 10th Street,  New York, NY 10014","Central Village,   Manhattan",(no current listings),1900,5 floors 19 units,,,,
285,141 East 13th Street,141 East 13th Street is a   low-rise  walk-up  building.,"141 East 13th Street,  New York, NY 10003","East Village,   Manhattan",(no current listings),1900,5 floors 26 units,,,,
286,141 Second Avenue,141 Second Avenue is a   mid-rise  walk-up  building.,"141 Second Avenue,  New York, NY 10003","East Village,   Manhattan",(no current listings),1900,6 floors 20 units,,,,
287,141 Sullivan Street,141 Sullivan Street is a   low-rise  walk-up  building.,"141 Sullivan Street,  New York, NY 10012","SoHo,   Manhattan",(no current listings),1900,5 floors 20 units,,,,
288,141 West 10th Street,141 West 10th Street is a   mid-rise  landmark walk-up  building.   The building's amenities include a laundry.  The apartments  have  high ceilings.,"141 West 10th Street,  New York, NY 10014","West Village, Central Village,   Manhattan",(no current listings),1920,6 floors 24 units,,Sky Management,212-759-1300,
289,142 Sullivan Street,142 Sullivan Street is a  turn-of-the-century  mid-rise  walk-up  building.,"142 Sullivan Street,  New York, NY 10012","SoHo,   Manhattan",(no current listings),1910,7 floors 27 units,,,,
290,143 Ludlow Street,143 Ludlow Street is a   mid-rise  walk-up  building.,"143 Ludlow Street,  New York, NY 10002","Lower East Side,   Manhattan",(no current listings),1920,6 floors 23 units,,,,
291,143 Sullivan Street,143 Sullivan Street is a   low-rise  walk-up  building.,"143 Sullivan Street,  New York, NY 10012","SoHo,   Manhattan",2 fee ads,1900,5 floors 20 units,,,,
292,143 Waverly Place,143 Waverly Place is a   low-rise  landmark walk-up  building.,"143 Waverly Place,  New York, NY 10014","West Village, Central Village,   Manhattan",(no current listings),1890,5 floors 30 units,,,,
293,144 Orchard Street,144 Orchard Street is a   mid-rise  walk-up  building.,"144 Orchard Street,  New York, NY 10002","Lower East Side,   Manhattan",(no current listings),1920,6 floors 15 units,,,,
294,144 Sullivan Street,144 Sullivan Street is a  turn-of-the-century  mid-rise  walk-up  building.,"144 Sullivan Street,  New York, NY 10012","SoHo,   Manhattan",(no current listings),1900,7 floors 26 units,,,,
295,144 West 10th Street,144 West 10th Street is a   low-rise  landmark walk-up  building.,"144 West 10th Street,  New York, NY 10014","Central Village,   Manhattan",(no current listings),1900,5 floors 20 units,,,,
296,145 Fourth Avenue,145 Fourth Avenue is a  post-war  high-rise  doorman elevator  building.   The building's amenities include a laundry.,"145 Fourth Avenue,  New York, NY 10003","East Village, Central Village,   Manhattan","2 no-fee, 1 fee ads",1964,17 floors 209 units,,,,
297,145 Second Avenue,145 Second Avenue is a   mid-rise  elevator  building.,"145 Second Avenue,  New York, NY 10003","East Village,   Manhattan",(no current listings),1920,7 floors 24 units,,,,
298,146 Forsyth Street,146 Forsyth Street is a   low-rise  walk-up  building.    The apartments  have  high ceilings.  Rent includes heat and hot water.,"146 Forsyth Street,  New York, NY 10002","Lower East Side,   Manhattan",(no current listings),1910,5 floors 24 units,,Fook Cheung Lung Realty Corp,973-886-9409,
299,146 Mulberry Street,146 Mulberry Street is a   mid-rise  walk-up  building.,"146 Mulberry Street,  New York, NY 10013","Little Italy,   Manhattan",1 no-fee ad,1900,6 floors 15 units,,,,
300,146 Orchard Street,146 Orchard Street is a   mid-rise  elevator  building.,"146 Orchard Street,  New York, NY 10002","Lower East Side,   Manhattan",(no current listings),1900,6 floors 16 units,,,,
301,146 Sullivan Street,146 Sullivan Street is a   mid-rise  walk-up  building.    The apartments  have  high ceilings.,"146 Sullivan Street,  New York, NY 10012","SoHo,   Manhattan",(no current listings),1900,6 floors 23 units,,"Livingston Management Services, LLC",646-214-0333,
302,146 West 10th Street,146 West 10th Street is a   low-rise  landmark walk-up  building.,"146 West 10th Street,  New York, NY 10014","Central Village,   Manhattan",(no current listings),1910,5 floors 20 units,,Beach Lane Management Inc,914-997-2435,
303,147 Elizabeth Street,147 Elizabeth Street is a   low-rise  elevator  building.,"147 Elizabeth Street,  New York, NY 10012","Little Italy,   Manhattan",(no current listings),1900,5 floors 22 units,,,,
304,147 Orchard Street,147 Orchard Street is a   mid-rise  walk-up  building.,"147 Orchard Street,  New York, NY 10002","Lower East Side,   Manhattan",(no current listings),1900,6 floors 15 units,,,,
305,147 Second Avenue,147 Second Avenue is a   mid-rise  elevator  building.,"147 Second Avenue,  New York, NY 10003","East Village,   Manhattan",(no current listings),,6 floors 24 units,,,,
306,147 Sullivan Street,147 Sullivan Street is a   low-rise  walk-up  building.,"147 Sullivan Street,  New York, NY 10012","SoHo,   Manhattan",(no current listings),,5 floors 18 units,,,,
307,148 Bank Street,148 Bank Street is a  mid-twentieth century  low-rise  walk-up  building.,"148 Bank Street,  New York, NY 10014","West Village,   Manhattan",(no current listings),1939,5 floors 100 units,,,,
308,148 Orchard Street,148 Orchard Street is a   low-rise  walk-up  building.,"148 Orchard Street,  New York, NY 10002","Lower East Side,   Manhattan",(no current listings),1920,5 floors 19 units,,,,
309,148 Sullivan Street,148 Sullivan Street is a   low-rise  landmark walk-up  building.,"148 Sullivan Street,  New York, NY 10012","SoHo,   Manhattan",(no current listings),1900,5 floors 19 units,,,,
310,148 West 10th Street,148 West 10th Street is a   low-rise  landmark walk-up  building.   The building's amenities include a laundry.,"148 West 10th Street,  New York, NY 10014","West Village, Central Village,   Manhattan",(no current listings),1910  (approximate),5 floors 20 units,,Brodsky Organization,212-315-5555  212-315-5963 fax,
311,149 West 4th Street,149 West 4th Street is a   low-rise  landmark walk-up  building.,"149 West 4th Street,  New York, NY 10012","Central Village,   Manhattan",(no current listings),1900,5 floors 26 units,,,,
312,149-151 Sullivan Street,149-151 Sullivan Street is a   mid-rise  landmark walk-up  building.,"149 Sullivan Street,  151 Sullivan Street,  New York, NY 10012","SoHo,   Manhattan",(no current listings),1900,6 floors 33 units,,,,
313,15 Cliff Apartments,"“15 Cliff is a modern luxury no-fee rental building located in  Downtown Manhattan in the heart of the FiDi. The building  features an attended lobby, landscaped plaza with perennial  flower beds and seating, an on-site cafe, fitness center,  and roof deck with breathtaking 360 degree views of the City,  River and Bridges. ”","15 Cliff Street,  New York, NY 10038","Financial District,   Manhattan","5 no-fee, 1 fee ads",2001  (approximate),30 floors 156 units,www.15cliff.com,Greystar,,
314,15 Cornelia Street,15 Cornelia Street is a   low-rise  landmark walk-up  building.,"15 Cornelia Street,  New York, NY 10014","West Village, Central Village,   Manhattan",(no current listings),1920,4 floors 16 units,,,,
315,15 Essex Street,15 Essex Street is a   mid-rise  walk-up  building.,"15 Essex Street,  New York, NY 10002","Chinatown,   Manhattan",(no current listings),1900,6 floors 44 units,,,,
316,15 Stanton Street,15 Stanton Street is a   low-rise  walk-up  building.,"15 Stanton Street,  New York, NY 10002","Lower East Side,   Manhattan",2 no-fee ads,1900,5 floors 16 units,,,,
317,150 East 2nd Street,150 East 2nd Street is a   mid-rise  walk-up  building.,"150 East 2nd Street,  New York, NY 10009","Alphabet City, East Village,   Manhattan",(no current listings),1900,6 floors 20 units,,,,
318,150 East 3rd Street,150 East 3rd Street is a   low-rise  walk-up  building.,"150 East 3rd Street,  New York, NY 10009","Alphabet City, East Village,   Manhattan",(no current listings),1900,5 floors 22 units,,,,
319,150 East 7th Street,150 East 7th Street is a   low-rise  elevator  building.,"150 East 7th Street,  New York, NY 10009","Alphabet City, East Village,   Manhattan",(no current listings),1925,5 floors 39 units,,,,
320,150 Orchard Street,150 Orchard Street is a   mid-rise  walk-up  building.,"150 Orchard Street,  New York, NY 10002","Lower East Side,   Manhattan",(no current listings),1920,6 floors 20 units,,,,
321,150 Sullivan Street,150 Sullivan Street is a   mid-rise  landmark walk-up  building.,"150 Sullivan Street,  New York, NY 10012","SoHo,   Manhattan",(no current listings),1900,6 floors 39 units,,,,
322,151 East 3rd Street,151 East 3rd Street is a  modern  low-rise  elevator  building.,"151 East 3rd Street,  New York, NY 10009","Alphabet City, East Village,   Manhattan",(no current listings),1995,5 floors 28 units,,,,
323,151 Mott Street,151 Mott Street is a   mid-rise  walk-up  building.,"151 Mott Street,  New York, NY 10013","Little Italy,   Manhattan",(no current listings),1910,6 floors 35 units,,,,
324,151 Norfolk Street,151 Norfolk Street is a   mid-rise  elevator  building.,"151 Norfolk Street,  New York, NY 10002","Lower East Side,   Manhattan",(no current listings),1912,6 floors 35 units,,,,
325,151 Second Avenue,151 Second Avenue is a   mid-rise  walk-up  building.,"151 Second Avenue,  New York, NY 10003","East Village,   Manhattan",(no current listings),1900,6 floors 27 units,,Citi Urban Management Corp.,212-260-2066,
326,151 West 10th Street,151 West 10th Street is a   low-rise  landmark walk-up  building.    The apartments  have  high ceilings.,"151 West 10th Street,  New York, NY 10014","Central Village,   Manhattan",(no current listings),1910,4 floors 27 units,,Jakobson Properties,212-533-1300,
327,152 Second Avenue,152 Second Avenue is a   mid-rise  elevator  building.,"152 Second Avenue,  New York, NY 10003","East Village,   Manhattan",(no current listings),1920,6 floors 25 units,,Icon Realty Management LLC,212-675-7100,
328,152 Thompson Street,152 Thompson Street is a   mid-rise  landmark walk-up  building.,"152 Thompson Street,  New York, NY 10012","SoHo,   Manhattan",(no current listings),1900,6 floors 30 units,www.thethompsonhouseny.com,,,
329,153 Avenue A,153 Avenue A is a   low-rise  walk-up  building.,"153 Avenue A,  New York, NY 10009","East Village,   Manhattan",2 no-fee ads,1900,4 floors 30 units,,,,
330,153 Ludlow Street,153 Ludlow Street is a   mid-rise  walk-up  building.    The apartments  have  high ceilings.,"153 Ludlow Street,  New York, NY 10002","Lower East Side,   Manhattan",(no current listings),1900,6 floors 20 units,,,,
331,153 Norfolk Street,153 Norfolk Street is a   mid-rise  elevator  building.,"153 Norfolk Street,  New York, NY 10002","Lower East Side,   Manhattan",11 no-fee ads,1912,6 floors 50 units,,,,
332,153 West 10th Street,153 West 10th Street is a   low-rise  landmark walk-up  building.,"153 West 10th Street,  New York, NY 10014","Central Village,   Manhattan",(no current listings),1910,4 floors 27 units,,Jakobson Properties,212-533-1300,
333,154 Mott Street,154 Mott Street is a   low-rise  walk-up  building.,"154 Mott Street,  New York, NY 10013","Little Italy,   Manhattan",(no current listings),1920,5 floors 16 units,,,,
334,154 Ridge Street,154 Ridge Street is a  modern  mid-rise  elevator  building.,"154 Ridge Street,  New York, NY 10002","Lower East Side,   Manhattan",(no current listings),1983,6 floors 172 units,,,,
335,155 Attorney Street,155 Attorney Street is a  modern  mid-rise  elevator  building.,"155 Attorney Street,  New York, NY 10002","Lower East Side,   Manhattan",1 fee ad,2015,7 floors 37 units,,,,
336,155 Avenue C,155 Avenue C is a   low-rise  walk-up  building.,"155 Avenue C,  New York, NY 10009","Alphabet City, East Village,   Manhattan",(no current listings),1900,5 floors 17 units,,,,
337,155 Ridge Street,155 Ridge Street is a  mid-twentieth century  low-rise  elevator  building.,"155 Ridge Street,  New York, NY 10002","Lower East Side,   Manhattan",(no current listings),1940,5 floors 56 units,,Stellar Management,212-406-0030  212-843-3565,
338,156 Allen Street,156 Allen Street is a   mid-rise  walk-up  building.,"156 Allen Street,  New York, NY 10002","Lower East Side,   Manhattan",(no current listings),1900,6 floors 18 units,,,,
339,156 Orchard Street,156 Orchard Street is a   low-rise  walk-up  building.,"156 Orchard Street,  New York, NY 10002","Lower East Side,   Manhattan",(no current listings),,5 floors 16 units,,S & H Equities,,516-487-4090
340,156 Prince Street,156 Prince Street is a   mid-rise  elevator  building.,"156 Prince Street,  New York, NY 10012","SoHo,   Manhattan",(no current listings),1900,6 floors 24 units,,,,
341,156 Second Avenue,156 Second Avenue is a   mid-rise  elevator  building.,"156 Second Avenue,  New York, NY 10003","East Village,   Manhattan",(no current listings),1920,6 floors 31 units,,Citi Urban Management Corp.,212-260-2066,
342,156 Sullivan Street,156 Sullivan Street is a   mid-rise  walk-up  building.,"156 Sullivan Street,  New York, NY 10012","SoHo,   Manhattan",(no current listings),1910,6 floors 22 units,,,,
343,157 Allen Street,157 Allen Street is a   mid-rise  elevator  building.,"157 Allen Street,  New York, NY 10002","Lower East Side,   Manhattan",(no current listings),1920,7 floors 26 units,,,,
344,157 Broome Street,157 Broome Street is a   mid-rise  elevator  building.,"157 Broome Street,  New York, NY 10002","Lower East Side,   Manhattan",(no current listings),1910,6 floors 28 units,,,,
345,157 Rivington Street,157 Rivington Street is a   low-rise  walk-up  building.,"157 Rivington Street,  New York, NY 10002","Lower East Side,   Manhattan",(no current listings),1920,5 floors 18 units,,,,
346,157 Suffolk Street,157 Suffolk Street is a   mid-rise  walk-up  building.   The building's amenities include a laundry.,"157 Suffolk Street,  New York, NY 10002","Lower East Side,   Manhattan",1 no-fee ad,1900,6 floors 32 units,,,,
347,158 Allen Street,158 Allen Street is a   mid-rise  walk-up  building.,"158 Allen Street,  New York, NY 10002","Lower East Side,   Manhattan",(no current listings),1900,6 floors 18 units,,,,
348,158 Mott Street,158 Mott Street is a   mid-rise  walk-up  building.,"158 Mott Street,  New York, NY 10013","Little Italy,   Manhattan",(no current listings),1905,6 floors 17 units,,,,
349,158 Orchard Street,158 Orchard Street is a   low-rise  walk-up  building.,"158 Orchard Street,  New York, NY 10002","Lower East Side,   Manhattan",(no current listings),1890,5 floors 38 units,,,,
350,158 Stanton Street,158 Stanton Street is a   low-rise  walk-up  building.,"158 Stanton Street,  New York, NY 10002","Lower East Side,   Manhattan",(no current listings),1920,5 floors 16 units,,,,
351,159 Bleecker Street,159 Bleecker Street is a   mid-rise  landmark elevator  building.,"159 Bleecker Street,  New York, NY 10012","Central Village,   Manhattan",(no current listings),1920,7 floors 18 units,,,,
352,159 Prince Street,159 Prince Street is a   low-rise  landmark walk-up  building.,"159 Prince Street,  New York, NY 10012","SoHo,   Manhattan",(no current listings),1900,5 floors 16 units,,,,
353,16 Jane Street,16 Jane Street is a   low-rise  landmark walk-up  building.,"16 Jane Street,  New York, NY 10014","West Village,   Manhattan",(no current listings),1900,5 floors 30 units,,"R.A. Cohen & Associates, Inc",212-972-5900,
354,160 Allen Street,160 Allen Street is a   mid-rise  walk-up  building.,"160 Allen Street,  New York, NY 10002","Lower East Side,   Manhattan",(no current listings),1900,6 floors 18 units,,,,
355,160 Front Street,160 Front Street is a   mid-rise  elevator  building.   The building's amenities include a laundry.  The apartments  have  high ceilings.,"160 Front Street,  New York, NY 10038","Financial District,   Manhattan",(no current listings),1925  (approximate),7 floors 62 units,,Samson Management,718-830-0131,
356,160 Mott Street,160 Mott Street is a   mid-rise  elevator  building.,"160 Mott Street,  New York, NY 10013","Little Italy,   Manhattan",(no current listings),1910,6 floors 35 units,,,,
357,160 Orchard Street,160 Orchard Street is a   low-rise  walk-up  building.,"160 Orchard Street,  New York, NY 10002","Lower East Side,   Manhattan",(no current listings),1900,5 floors 18 units,,,,
358,160-162 Prince Street,160-162 Prince Street is a   mid-rise  landmark walk-up  building.,"160 Prince Street,  162 Prince Street,  New York, NY 10012","SoHo,   Manhattan",(no current listings),1900,6 floors 20 units,,,,
359,161 Attorney Street,161 Attorney Street is a   low-rise  walk-up  building.,"161 Attorney Street,  New York, NY 10002","Lower East Side,   Manhattan",(no current listings),1910,5 floors 18 units,,,,
360,161 Mott Street,161 Mott Street is a   low-rise  walk-up  building.,"161 Mott Street,  New York, NY 10013","Little Italy,   Manhattan",(no current listings),1911,5 floors 16 units,,,,
361,161 Prince Street,161 Prince Street is a   low-rise  landmark walk-up  building.,"161 Prince Street,  New York, NY 10012","SoHo,   Manhattan",1 no-fee ad,1900,5 floors 24 units,,,,
362,161 Rivington Street,161 Rivington Street is a   low-rise  walk-up  building.,"161 Rivington Street,  Brooklyn, NY 10002","Lower East Side,   Manhattan",(no current listings),1920,5 floors 16 units,,,,
363,161 West 10th Street,161 West 10th Street is a   low-rise  landmark walk-up  building.,"161 West 10th Street,  New York, NY 10014","Central Village,   Manhattan",(no current listings),1910,5 floors 20 units,,,,
364,162 Allen Street,162 Allen Street is a   mid-rise  walk-up  building.,"162 Allen Street,  New York, NY 10002","Lower East Side,   Manhattan",(no current listings),1900,6 floors 18 units,,,,
365,162 Mott Street,162 Mott Street is a   low-rise  walk-up  building.,"162 Mott Street,  New York, NY 10013","Little Italy,   Manhattan",(no current listings),1900,5 floors 16 units,,,,
366,162 West 13th Street,162 West 13th Street is a   mid-rise  landmark elevator  building.,"162 West 13th Street,  New York, NY 10011","Central Village,   Manhattan",(no current listings),1910,6 floors 32 units,,,,
367,163 Attorney Street,163 Attorney Street is a   low-rise  walk-up  building.,"163 Attorney Street,  New York, NY 10002","Lower East Side,   Manhattan",(no current listings),1910,5 floors 18 units,,,,
368,163 Chrystie Street,163 Chrystie Street is a   low-rise  walk-up  building.,"163 Chrystie Street,  New York, NY 10002","Lower East Side,   Manhattan",(no current listings),1900,5 floors 21 units,,Landmark Resources LLC,212-644-4455,
369,163 Ludlow Street,163 Ludlow Street is a   low-rise  walk-up  building.,"163 Ludlow Street,  New York, NY 10002","Lower East Side,   Manhattan",3 no-fee ads,1910,5 floors 19 units,,,,
370,163 Mulberry Street,163 Mulberry Street is a   mid-rise  walk-up  building.   The building's amenities include a laundry.  The apartments  have  high ceilings.,"163 Mulberry Street,  New York, NY 10013","Little Italy,   Manhattan",2 no-fee ads,1900,6 floors 21 units,,Sky Management,212-759-1300,
